PEK
CAN
KMG
XIY
CTU
SZX
CKG
PVG
SHA
HGH
XMN
CGO
NKG
WUH
URC
CSX
TAO
HAK
KWE
TSN
HRB
DLC
SYX
SHE
TNA
NNG
LHW
TYN
HET
FOC
CGQ
WNZ
KHN
HFE
SJW
LJG
NGB
INC
KWL
ZUH
YNT
NAY
XNN
WUX
JHG
LXA
SWA
JJN
MIG
BAV
